name,department,weekly_hours,type,level,group
Data Structures,Computer Science,3,lecture,1,1
Database Management,Computer Science,2,lecture,1,1
Database Lab,Computer Science,2,lab,1,1
Algorithms,Computer Science,3,lecture,1,2
Operating Systems,Computer Science,3,lecture,1,2
Computer Networks,Computer Science,2,lab,1,2
Data Structures,Computer Science,2,lab,1,1
Computer Networks,Computer Science,3,lecture,1,1
Operating Systems,Computer Science,2,lab,1,2
Algorithms,Computer Science,2,lab,1,2
PL-2,Computer Science,3,lecture,2,1
PL-2,Computer Science,2,lab,2,1
Software Engineering,Computer Science,3,lecture,2,1
Software Engineering,Computer Science,2,lab,2,1
Web Development,Computer Science,3,lecture,2,2
Web Development,Computer Science,2,lab,2,2
Artificial Intelligence,Computer Science,3,lecture,3,1
Machine Learning,Computer Science,3,lecture,3,1
Machine Learning,Computer Science,2,lab,3,1
Computer Graphics,Computer Science,3,lecture,3,2
Computer Graphics,Computer Science,2,lab,3,2
Cyber Security,Computer Science,3,lecture,3,2
Cyber Security,Computer Science,2,lab,3,2
System Analysis,Computer Science,3,lecture,4,1
Advanced Algorithms,Computer Science,3,lecture,4,1
Advanced Algorithms,Computer Science,2,lab,4,1
Project Management,Computer Science,3,lecture,4,2
Mobile App Development,Computer Science,3,lecture,4,2
Mobile App Development,Computer Science,2,lab,4,2

