slot_id,day,period,start_time,end_time
S1,Sunday,1,08:00,10:00
S2,Sunday,2,10:00,12:00
S3,Sunday,3,12:00,14:00
S4,Sunday,4,14:00,16:00
S5,Monday,1,08:00,10:00
S6,Monday,2,10:00,12:00
S7,Monday,3,12:00,14:00
S8,Monday,4,14:00,16:00
S9,Tuesday,1,08:00,10:00
S10,Tuesday,2,10:00,12:00
S11,Tuesday,3,12:00,14:00
S12,Tuesday,4,14:00,16:00
S13,Wednesday,1,08:00,10:00
S14,Wednesday,2,10:00,12:00
S15,Wednesday,3,12:00,14:00
S16,Wednesday,4,14:00,16:00
S17,Thursday,1,08:00,10:00
S18,Thursday,2,10:00,12:00
S19,Thursday,3,12:00,14:00
S20,Thursday,4,14:00,16:00
